intent,text
service_booking,Saya mau booking servis mobil saya untuk minggu depan, bisa?
service_booking,Tolong atur jadwal untuk servis motor di bengkel, hari Sabtu ini.
service_booking,Apa bisa bantu saya pesan slot untuk perbaikan mobil besok sore?
service_booking,Mau bukin waktu untuk cek mesin mobil, kira-kira kapan ada slot kosong?
service_booking,Bisa ga sih booking servis motor untuk hari Jumat jam 10 pagi?
service_booking,Saya ingin menjadwalkan servis rutin untuk mobil saya, kapan ada waktu?
service_booking,Tolong bantu daftarin buat servis motor di bengkel terdekat.
service_booking,Mau pesen jadwal bengkel buat ganti oli mobil, bisa hari ini?
service_booking,Apakah ada slot untuk servis motor besok pagi?
service_booking,Saya butuh booking servis untuk mobil, mungkin minggu ini?
service_booking,Bisa bantu atur servis motor saya di hari Senin?
service_booking,Mau booking untuk cek rem mobil, kapan bisa?
service_booking,Tolong carikan waktu untuk servis rutin motor, kalau bisa akhir pekan.
service_booking,Saya mau pesan slot bengkel untuk mobil, ada waktu di hari Kamis?
service_booking,Bisa ga bukin servis motor untuk minggu depan, sekitar jam 2 siang?
service_booking,Mau atur jadwal buat servis mobil, apa ada slot di hari Rabu?
service_booking,Tolong bantu booking servis untuk motor saya, kapan aja boleh.
service_booking,Saya ingin jadwalin servis rutin mobil, kalau bisa secepatnya.
service_booking,Apa bisa pesan waktu untuk ganti ban mobil di bengkel?
service_booking,Mau booking servis motor, tolong cari slot di hari Sabtu.
service_booking,Bisa atur waktu untuk cek mesin mobil saya minggu ini?
service_booking,Saya mau daftar servis motor, apa ada slot kosong besok?
service_booking,Tolong bantu pesan jadwal bengkel untuk mobil, hari apa aja boleh.
service_booking,Mau bukin servis rutin untuk motor, kapan waktu yang tersedia?
service_booking,Bisa ga sih atur servis mobil untuk hari Jumat pagi?
service_booking,Saya ingin booking slot untuk servis motor, mungkin di akhir pekan?
service_booking,Tolong aturin jadwal buat cek rem motor, kapan ada waktu?
service_booking,Mau pesan servis mobil, apa bisa di hari Senin sore?
service_booking,Bisa bantu booking untuk ganti oli motor minggu ini?
service_booking,Saya mau jadwalin servis mobil, kalau bisa hari ini atau besok.
service_booking,Tolong carikan slot untuk servis motor di bengkel terdekat.
service_booking,Apa bisa atur waktu servis mobil untuk hari Rabu jam 3 sore?
service_booking,Mau booking untuk cek mesin motor, kapan ada slot kosong?
service_booking,Saya ingin pesan jadwal bengkel, mungkin di hari Kamis?
service_booking,Bisa ga bukin servis rutin mobil untuk minggu depan?
service_booking,Tolong bantu atur slot untuk servis motor, kalau bisa cepet.
service_booking,Mau jadwalin servis mobil, apa ada waktu di hari Jumat?
service_booking,Saya butuh booking untuk cek ban motor, kapan bisa?
service_booking,Tolong pesan waktu untuk servis rutin mobil, akhir pekan ini.
service_booking,Mau booking slot bengkel untuk motor, hari apa yang kosong?
service_booking,Bisa atur servis mobil untuk hari Senin pagi?
service_booking,Saya ingin jadwalin ganti oli motor, kapan ada slot?
service_booking,Tolong bantu booking servis mobil, mungkin besok sore?
service_booking,Mau pesan waktu untuk cek mesin mobil, apa bisa hari ini?
service_booking,Bisa ga sih booking servis motor untuk hari Rabu?
service_booking,Saya mau atur jadwal bengkel, kalau bisa minggu ini.
service_booking,Tolong carikan waktu untuk servis rutin motor, hari apa aja.
service_booking,Apa bisa pesan slot untuk servis mobil di hari Sabtu?
service_booking,Mau booking servis motor, tolong atur untuk hari Jumat.
service_booking,Saya ingin jadwalin cek rem mobil, kapan ada waktu kosong?
service_booking,Bisa bantu atur servis motor untuk minggu depan?
service_booking,Tolong pesan jadwal untuk ganti oli mobil, kalau bisa cepat.
service_booking,Mau booking slot untuk servis rutin motor, hari apa yang bisa?
service_booking,Saya butuh atur waktu servis mobil, mungkin di hari Kamis?
service_booking,Tolong bantu booking untuk cek mesin motor, besok boleh?
service_booking,Apa bisa jadwalin servis mobil untuk hari Senin sore?
service_booking,Mau pesan waktu bengkel untuk motor, kapan ada slot?
service_booking,Bisa ga sih atur servis rutin mobil untuk akhir pekan?
service_booking,Saya ingin booking servis motor, kalau bisa hari ini.
service_booking,Tolong atur jadwal untuk cek ban mobil, kapan kosong?
service_booking,Mau booking servis mobil, apa bisa di hari Rabu pagi?
service_booking,Bisa bantu pesan slot untuk ganti oli motor minggu ini?
service_booking,Saya mau jadwalin servis rutin mobil, kapan ada waktu?
service_booking,Tolong carikan slot bengkel untuk motor, hari apa aja boleh.
service_booking,Apa bisa atur servis mobil untuk hari Jumat sore?
service_booking,Mau booking untuk cek mesin motor, kapan bisa?
service_booking,Saya ingin pesan waktu servis mobil, mungkin besok pagi?
service_booking,Bisa ga bukin slot untuk servis motor di hari Sabtu?
service_booking,Tolong bantu atur jadwal bengkel untuk mobil, minggu ini.
service_booking,Mau pesan servis rutin motor, apa ada slot di hari Senin?
service_booking,Saya butuh booking untuk cek rem mobil, kapan kosong?
service_booking,Tolong atur waktu untuk ganti oli motor, kalau bisa cepat.
service_booking,Apa bisa jadwalin servis mobil untuk hari Kamis pagi?
service_booking,Mau booking slot bengkel untuk motor, hari apa yang tersedia?
service_booking,Bisa bantu atur servis rutin mobil untuk minggu depan?
service_booking,Saya ingin pesan waktu untuk cek mesin mobil, besok boleh?
service_booking,Tolong carikan slot untuk servis motor di hari Jumat.
service_booking,Mau booking servis mobil, apa bisa di hari Rabu sore?
service_booking,Bisa ga sih atur jadwal untuk cek ban motor minggu ini?
service_booking,Saya mau jadwalin servis rutin mobil, kapan ada slot kosong?
service_booking,Tolong bantu booking untuk ganti oli motor, hari apa aja.
service_booking,Apa bisa pesan slot servis motor untuk hari Senin pagi?
service_booking,Mau booking untuk cek mesin mobil, kalau bisa besok.
service_booking,Saya ingin atur waktu bengkel, mungkin di hari Sabtu?
service_booking,Bisa bantu jadwalin servis rutin motor untuk minggu depan?
service_booking,Tolong pesan slot untuk servis mobil, hari apa yang kosong?
service_booking,Mau booking servis motor, apa bisa di hari Kamis?
service_booking,Saya butuh atur jadwal untuk cek rem mobil, kapan bisa?
service_booking,Tolong bantu booking servis rutin mobil, kalau bisa cepat.
service_booking,Apa bisa jadwalin ganti oli motor untuk hari Jumat?
service_booking,Mau pesan waktu untuk servis mobil, mungkin besok sore?
service_booking,Bisa ga sih booking slot bengkel untuk motor di hari Senin?
service_booking,Saya ingin atur servis mobil, apa ada waktu minggu ini?
service_booking,Tolong carikan slot untuk cek mesin motor, hari apa aja.
service_booking,Mau booking servis rutin mobil, kapan ada slot kosong?
service_booking,Bisa bantu pesan waktu untuk servis motor di hari Rabu?
service_booking,Saya mau jadwalin cek ban mobil, kalau bisa akhir pekan.
service_booking,Tolong atur slot untuk ganti oli motor, besok boleh?
service_booking,Apa bisa booking servis mobil untuk hari Kamis sore?
service_booking,Mau pesan jadwal bengkel untuk motor, apa ada waktu?
service_booking,Bisa ga sih atur servis rutin mobil untuk hari Jumat?
service_booking,Saya ingin booking slot untuk cek mesin mobil, kapan kosong?
service_booking,Tolong bantu jadwalin servis motor, mungkin di hari Senin.
service_booking,Mau booking untuk servis rutin mobil, hari apa yang bisa?
service_booking,Saya butuh pesan waktu untuk cek rem motor, kapan ada slot?
service_booking,Tolong atur jadwal servis mobil, kalau bisa minggu ini.
service_booking,Apa bisa booking slot untuk ganti oli mobil di hari Sabtu?
service_booking,Mau pesan servis motor, apa bisa besok pagi?
service_booking,Bisa bantu atur waktu untuk cek mesin mobil, hari apa aja?
service_booking,Saya ingin jadwalin servis rutin motor, kapan kosong?
service_booking,Tolong carikan slot bengkel untuk mobil, mungkin di hari Rabu?
service_booking,Mau booking servis mobil, apa bisa di hari Jumat pagi?
service_booking,Bisa ga sih pesan slot untuk cek ban motor minggu depan?
service_booking,Saya mau atur jadwal untuk servis rutin mobil, besok boleh?
service_booking,Tolong bantu booking ganti oli motor, kalau bisa cepat.
service_booking,Apa bisa jadwalin servis motor untuk hari Kamis pagi?
service_booking,Mau pesan waktu bengkel untuk mobil, hari apa yang tersedia?
service_booking,Bisa bantu atur servis rutin motor untuk akhir pekan?
service_booking,Saya ingin booking slot untuk cek mesin mobil, mungkin besok?
service_booking,Tolong carikan waktu untuk servis mobil di hari Senin.
service_booking,Mau booking servis motor, apa bisa di hari Rabu sore?
service_booking,Saya butuh jadwalin cek rem mobil, kapan ada waktu?
service_booking,Tolong bantu pesan slot untuk ganti oli motor, minggu ini.
service_booking,Apa bisa booking servis rutin mobil untuk hari Jumat?
service_booking,Mau pesan waktu untuk cek mesin motor, kalau bisa besok.
service_booking,Bisa ga sih atur jadwal bengkel untuk mobil di hari Sabtu?
service_booking,Saya ingin booking servis motor, mungkin di hari Kamis?
service_booking,Tolong atur slot untuk servis rutin mobil, hari apa aja.
service_booking,Mau booking untuk cek ban motor, kapan ada slot kosong?
service_booking,Bisa bantu jadwalin ganti oli mobil untuk minggu depan?
service_booking,Saya mau pesan waktu servis motor, apa bisa hari ini?
service_booking,Tolong carikan slot untuk cek mesin mobil di hari Jumat.
service_booking,Apa bisa booking servis rutin motor untuk hari Senin?
service_booking,Mau pesan jadwal bengkel untuk mobil, kalau bisa besok.
service_booking,Bisa ga sih atur servis mobil untuk hari Rabu pagi?
service_booking,Saya ingin booking slot untuk cek rem motor, kapan kosong?
service_booking,Tolong bantu jadwalin servis rutin mobil, mungkin akhir pekan?
service_booking,Mau booking untuk ganti oli motor, apa ada waktu di hari Kamis?
service_booking,Saya butuh pesan slot untuk servis motor, besok boleh?
service_booking,Tolong atur waktu untuk cek mesin mobil, hari apa yang bisa?
service_booking,Apa bisa jadwalin servis rutin mobil untuk hari Jumat sore?
service_booking,Mau pesan booking untuk motor, kapan ada slot kosong?
service_booking,Bisa bantu atur jadwal bengkel untuk mobil di hari Senin?
service_booking,Saya ingin booking servis motor, kalau bisa minggu ini.
service_booking,Tolong carikan waktu untuk cek ban mobil, hari apa aja.
service_booking,Mau booking servis rutin motor, apa bisa di hari Rabu?
service_booking,Bisa ga sih pesan slot untuk ganti oli mobil besok?
service_booking,Saya mau jadwalin servis mobil, mungkin di hari Sabtu?
service_booking,Tolong bantu booking untuk cek mesin motor, kalau bisa cepat.
service_booking,Apa bisa atur servis rutin mobil untuk hari Kamis pagi?
service_booking,Mau pesan waktu bengkel untuk motor, apa ada slot di hari Jumat?
service_booking,Bisa bantu jadwalin servis mobil, mungkin minggu depan?
service_booking,Saya ingin booking slot untuk cek rem mobil, kapan ada waktu?
service_booking,Tolong carikan slot untuk ganti oli motor di hari Senin.
service_booking,Mau booking servis motor, apa bisa besok sore?
service_booking,Bisa ga sih atur jadwal untuk cek mesin mobil di hari Rabu?
service_booking,Saya mau pesan slot servis rutin mobil, kalau bisa akhir pekan.
service_booking,Tolong bantu booking untuk servis motor, hari apa yang kosong?
service_booking,Apa bisa jadwalin ganti oli mobil untuk hari Jumat pagi?
service_booking,Mau pesan waktu untuk cek ban motor, mungkin besok?
service_booking,Bisa bantu atur servis rutin mobil untuk hari Kamis?
service_booking,Saya ingin booking slot untuk servis motor, kapan ada waktu?
service_booking,Tolong carikan slot bengkel untuk mobil, kalau bisa cepat.
service_booking,Mau booking servis rutin motor, apa bisa di hari Senin?
service_booking,Bisa ga sih pesan slot untuk cek mesin mobil minggu ini?
service_booking,Saya mau jadwalin servis mobil, mungkin di hari Rabu sore?
service_booking,Tolong bantu booking untuk ganti oli motor, besok boleh?
service_booking,Apa bisa atur servis motor untuk hari Jumat pagi?
service_booking,Mau pesan waktu bengkel untuk mobil, apa ada slot kosong?
service_booking,Bisa bantu jadwalin servis rutin motor untuk akhir pekan?
service_booking,Saya ingin booking slot untuk cek rem mobil, mungkin besok?
service_booking,Tolong carikan waktu untuk servis mobil di hari Kamis.
service_booking,Mau booking servis motor, apa bisa di hari Senin sore?
service_booking,Bisa ga sih atur jadwal untuk cek ban motor di hari Jumat?
service_booking,Saya mau pesan slot servis rutin mobil, kalau bisa minggu ini.
service_booking,Tolong bantu booking untuk ganti oli motor, hari apa aja.
service_booking,Apa bisa jadwalin servis motor untuk hari Rabu pagi?
service_booking,Mau pesan waktu untuk cek mesin mobil, mungkin besok?
service_booking,Bisa bantu atur servis rutin mobil untuk hari Sabtu?
service_booking,Saya ingin booking slot untuk servis motor, kapan kosong?
service_booking,Tolong carikan slot bengkel untuk mobil, kalau bisa cepat.
service_booking,Mau booking servis rutin motor, apa bisa di hari Kamis?
service_booking,Bisa ga sih pesan slot untuk cek rem mobil minggu depan?
service_booking,Saya mau jadwalin servis mobil, mungkin di hari Senin?
service_booking,Tolong bantu booking untuk ganti oli motor, besok boleh?
service_booking,Apa bisa atur servis motor untuk hari Jumat sore?
service_booking,Mau pesan waktu bengkel untuk mobil, apa ada slot di hari Rabu?
service_booking,Bisa bantu jadwalin servis rutin motor untuk minggu ini?
service_booking,Saya ingin booking slot untuk cek mesin mobil, kapan ada waktu?
service_booking,Tolong carikan slot untuk servis mobil di hari Kamis.
service_booking,Mau booking servis motor, apa bisa besok pagi?
service_booking,Bisa ga sih atur jadwal untuk cek ban motor di hari Senin?
service_booking,Saya mau pesan slot servis rutin mobil, kalau bisa akhir pekan.
service_booking,Tolong bantu booking untuk ganti oli motor, hari apa yang kosong?
service_booking,Apa bisa jadwalin servis motor untuk hari Rabu sore?
service_booking,Mau pesan waktu untuk cek mesin mobil, mungkin besok?
service_booking,Bisa bantu atur servis rutin mobil untuk hari Jumat?
service_booking,Saya ingin booking slot untuk servis motor, kapan ada slot?
service_booking,Tolong carikan slot bengkel untuk mobil, kalau bisa cepat.
service_booking,Mau booking servis rutin motor, apa bisa di hari Kamis?
service_booking,Bisa ga sih pesan slot untuk cek rem mobil di hari Senin?
service_booking,Saya mau jadwalin servis mobil, mungkin minggu depan?
service_booking,Tolong bantu booking untuk ganti oli motor, besok boleh?
service_booking,Apa bisa atur servis motor untuk hari Jumat pagi?
service_booking,Mau pesan waktu bengkel untuk mobil, apa ada slot di hari Sabtu?
service_booking,Bisa bantu jadwalin servis rutin motor untuk minggu ini?
service_booking,Saya ingin booking slot untuk cek mesin mobil, kapan kosong?
service_booking,Tolong carikan slot untuk servis mobil di hari Rabu.
service_booking,Mau booking servis motor, apa bisa besok sore?
service_booking,Bisa ga sih atur jadwal untuk cek ban motor di hari Kamis?
service_booking,Saya mau pesan slot servis rutin mobil, kalau bisa minggu ini.
service_booking,Tolong bantu booking untuk ganti oli motor, hari apa aja.
service_booking,Apa bisa jadwalin servis motor untuk hari Senin pagi?
service_booking,Mau pesan waktu untuk cek mesin mobil, mungkin besok?
service_booking,Bisa bantu atur servis rutin mobil untuk hari Jumat?
service_booking,Saya ingin booking slot untuk servis motor, kapan ada waktu?
service_booking,Tolong carikan slot bengkel untuk mobil, kalau bisa cepat.
service_booking,Mau booking servis rutin motor, apa bisa di hari Rabu?
service_booking,Bisa ga sih pesan slot untuk cek rem mobil minggu depan?
service_booking,Saya mau jadwalin servis mobil, mungkin di hari Senin?
service_booking,Tolong bantu booking untuk ganti oli motor, besok boleh?
service_booking,Apa bisa atur servis motor untuk hari Jumat sore?
service_booking,Mau pesan waktu bengkel untuk mobil, apa ada slot di hari Kamis?
service_booking,Bisa bantu jadwalin servis rutin motor untuk minggu ini?
service_booking,Saya ingin booking slot untuk cek mesin mobil, kapan ada slot?
service_booking,Tolong carikan slot untuk servis mobil di hari Senin.
service_booking,Mau booking servis motor, apa bisa besok pagi?
service_booking,Bisa ga sih atur jadwal untuk cek ban motor di hari Jumat?
service_booking,Saya mau pesan slot servis rutin mobil, kalau bisa akhir pekan.
service_booking,Tolong bantu booking untuk ganti oli motor, hari apa yang kosong?
service_booking,Apa bisa jadwalin servis motor untuk hari Rabu pagi?
service_booking,Mau pesan waktu untuk cek mesin mobil, mungkin besok?
service_booking,Bisa bantu atur servis rutin mobil untuk hari Sabtu?
service_booking,Saya ingin booking slot untuk servis motor, kapan kosong?
service_booking,Tolong carikan slot bengkel untuk mobil, kalau bisa cepat.
service_booking,Mau booking servis rutin motor, apa bisa di hari Kamis?
service_booking,Bisa ga sih pesan slot untuk cek rem mobil di hari Senin?
service_booking,Saya mau jadwalin servis mobil, mungkin minggu depan?
service_booking,Tolong bantu booking untuk ganti oli motor, besok boleh?
service_booking,Apa bisa atur servis motor untuk hari Jumat pagi?
service_booking,Mau pesan waktu bengkel untuk mobil, apa ada slot di hari Rabu?
service_booking,Bisa bantu jadwalin servis rutin motor untuk minggu ini?
service_booking,Saya ingin booking slot untuk cek mesin mobil, kapan ada waktu?
service_booking,Tolong carikan slot untuk servis mobil di hari Kamis.
service_booking,Mau booking servis motor, apa bisa besok sore?
service_booking,Bisa ga sih atur jadwal untuk cek ban motor di hari Senin?
service_booking,Saya mau pesan slot servis rutin mobil, kalau bisa minggu ini.
service_booking,Tolong bantu booking untuk ganti oli motor, hari apa aja.
service_booking,Apa bisa jadwalin servis motor untuk hari Rabu sore?
service_booking,Mau pesan waktu untuk cek mesin mobil, mungkin besok?
service_booking,Bisa bantu atur servis rutin mobil untuk hari Jumat?
service_booking,Saya ingin booking slot untuk servis motor, kapan ada slot?
service_booking,Tolong carikan slot bengkel untuk mobil, kalau bisa cepat.
service_booking,Mau booking servis rutin motor, apa bisa di hari Kamis?
service_booking,Bisa ga sih pesan slot untuk cek rem mobil minggu depan?
service_booking,Saya mau jadwalin servis mobil, mungkin di hari Senin?
service_booking,Tolong bantu booking untuk ganti oli motor, besok boleh?
service_booking,Apa bisa atur servis motor untuk hari Jumat sore?
service_booking,Mau pesan waktu bengkel untuk mobil, apa ada slot di hari Sabtu?
service_booking,Bisa bantu jadwalin servis rutin motor untuk minggu ini?
service_booking,Saya ingin booking slot untuk cek mesin mobil, kapan kosong?
service_booking,Tolong carikan slot untuk servis mobil di hari Rabu.
service_booking,Mau booking servis motor, apa bisa besok pagi?
service_booking,Bisa ga sih atur jadwal untuk cek ban motor di hari Jumat?
service_booking,Saya mau pesan slot servis rutin mobil, kalau bisa akhir pekan.
service_booking,Tolong bantu booking untuk ganti oli motor, hari apa yang kosong?
service_booking,Apa bisa jadwalin servis motor untuk hari Senin pagi?
service_booking,Mau pesan waktu untuk cek mesin mobil, mungkin besok?
service_booking,Bisa bantu atur servis rutin mobil untuk hari Kamis?
service_booking,Saya ingin booking slot untuk servis motor, kapan ada waktu?
service_booking,Tolong carikan slot bengkel untuk mobil, kalau bisa cepat.
service_booking,Mau booking servis rutin motor, apa bisa di hari Rabu?
service_booking,Bisa ga sih pesan slot untuk cek rem mobil di hari Senin?
service_booking,Saya mau jadwalin servis mobil, mungkin minggu depan?
service_booking,Tolong bantu booking untuk ganti oli motor, besok boleh?
service_booking,Apa bisa atur servis motor untuk hari Jumat pagi?
service_booking,Mau pesan waktu bengkel untuk mobil, apa ada slot di hari Kamis?
service_booking,Bisa bantu jadwalin servis rutin motor untuk minggu ini?
service_booking,Saya ingin booking slot untuk cek mesin mobil, kapan ada slot?
service_booking,Tolong carikan slot untuk servis mobil di hari Senin.
service_booking,Mau booking servis motor, apa bisa besok sore?
service_booking,Bisa ga sih atur jadwal untuk cek ban motor di hari Jumat?
service_booking,Saya mau pesan slot servis rutin mobil, kalau bisa minggu ini.
service_booking,Tolong bantu booking untuk ganti oli motor, hari apa aja.
service_booking,Apa bisa jadwalin servis motor untuk hari Rabu pagi?
service_booking,Mau pesan waktu untuk cek mesin mobil, mungkin besok?
service_booking,Bisa bantu atur servis rutin mobil untuk hari Sabtu?
service_booking,Saya ingin booking slot untuk servis motor, kapan kosong?
service_booking,Tolong carikan slot bengkel untuk mobil, kalau bisa cepat.
service_booking,Mau booking servis rutin motor, apa bisa di hari Kamis?
service_booking,Bisa ga sih pesan slot untuk cek rem mobil minggu depan?
